COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2002-02-11 18:14:17,1209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-07 02:46:04,3340.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
2002-03-21 02:46:04,3306.6666666666665,1.0,0.0,0.0,0.0,0.0,0.0,40.333333333333336,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
2002-04-04 02:46:04,3273.3333333333335,1.0,0.0,0.0,0.0,0.0,0.0,40.666666666666664,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
2002-04-24 11:59:13,3240.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
2002-05-15 06:25:50,6055.0,2.0,0.0,0.0,0.0,0.0,0.0,99.0,10.0,1.0,9.0,0.0,2.0,0.0,3.0,0.0
2002-05-30 08:13:50,7054.0,3.0,0.0,0.0,0.0,1.0,0.0,194.0,23.0,1.0,7.0,0.0,2.0,0.0,2.0,1.0
2002-06-13 08:16:47,9071.0,6.0,0.0,0.0,0.0,1.0,3.0,254.0,29.0,0.0,9.0,0.0,2.0,0.0,7.0,1.0
2002-06-27 14:09:15,12989.0,6.0,3.0,0.0,0.0,3.0,6.0,329.0,45.0,0.0,15.0,0.0,7.0,0.0,15.0,9.0
2002-07-13 00:49:45,15086.0,6.0,3.0,0.0,0.0,3.0,8.0,325.0,49.0,0.0,15.0,1.0,8.0,4.0,16.0,11.0
2002-07-30 17:57:20,18701.0,9.0,3.0,0.0,0.0,3.0,8.0,341.0,72.0,2.0,21.0,1.0,9.0,4.0,29.0,15.0
2002-08-15 07:56:11,18875.0,9.0,3.0,0.0,0.0,3.0,8.0,345.0,73.0,2.0,24.0,1.0,9.0,4.0,31.0,15.0
2002-09-05 13:36:44,21143.0,9.0,3.0,0.0,0.0,2.0,8.0,373.0,78.0,2.0,26.0,1.0,6.0,4.0,31.0,14.0
2002-09-23 12:35:42,21514.0,9.0,5.0,0.0,0.0,2.0,8.0,374.0,81.0,2.0,31.0,1.0,6.0,4.0,32.0,14.0
2002-10-08 11:26:00,26313.0,10.0,5.0,0.0,1.0,3.0,7.0,469.0,135.0,4.0,35.0,2.0,4.0,4.0,69.0,16.0
2002-10-22 15:13:43,29120.0,13.0,5.0,0.0,1.0,3.0,7.0,492.0,136.0,4.0,41.0,2.0,5.0,4.0,76.0,17.0
2002-11-08 18:27:52,34058.0,14.0,6.0,0.0,6.0,3.0,7.0,536.0,217.0,4.0,43.0,2.0,8.0,4.0,80.0,18.0
2002-11-25 14:29:07,34888.0,14.0,6.0,0.0,6.0,3.0,3.0,537.0,223.0,4.0,46.0,2.0,8.0,4.0,80.0,16.0
2002-12-09 15:18:26,36945.0,11.0,7.0,0.0,12.0,3.0,3.0,535.0,228.0,5.0,45.0,2.0,8.0,4.0,81.0,16.0
2002-12-24 04:50:19,37331.0,11.0,7.0,0.0,12.0,3.0,3.0,24.0,228.0,6.0,47.0,2.0,8.0,4.0,81.0,16.0
2003-01-07 14:42:59,31752.0,5.0,7.0,0.0,11.0,1.0,0.0,16.0,81.0,3.0,37.0,0.0,7.0,4.0,35.0,8.0
2003-01-22 09:19:30,33298.0,2.0,1.0,0.0,4.0,1.0,0.0,24.0,17.0,1.0,27.0,0.0,4.0,4.0,28.0,9.0
2003-02-07 12:53:55,32833.0,2.0,2.0,0.0,4.0,0.0,0.0,8.0,13.0,1.0,2.0,0.0,2.0,4.0,21.0,10.0
2003-02-25 22:54:23,32028.0,2.0,2.0,0.0,2.0,0.0,0.0,8.0,11.0,1.0,0.0,0.0,2.0,4.0,11.0,9.0
2003-03-20 17:12:41,34301.0,2.0,2.0,0.0,2.0,0.0,0.0,5.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,8.0
2003-04-03 17:12:41,34288.5,2.0,2.0,0.0,2.0,0.0,0.0,4.5,9.0,1.0,0.0,0.0,2.0,4.0,11.0,8.0
2003-04-20 03:16:24,34276.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,8.0
2003-05-04 03:16:24,34319.0,2.0,1.75,0.0,2.0,0.0,0.0,4.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,7.75
2003-05-18 03:16:24,34362.0,2.0,1.5,0.0,2.0,0.0,0.0,4.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,7.5
2003-06-01 03:16:24,34405.0,2.0,1.25,0.0,2.0,0.0,0.0,4.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,7.25
