SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
15593,2002-04-26 04:45:28,1,0,0,0,0,0,3,1,0,0,0,0,0,8,2
15598,2002-04-26 04:46:27,3,0,0,0,0,0,3,1,0,0,0,0,0,8,4
15818,2002-04-26 04:47:03,3,0,0,0,0,0,3,2,0,0,0,0,0,8,4
15860,2002-05-17 07:56:30,3,0,0,0,0,0,3,2,0,0,0,0,0,8,4
15984,2002-05-17 12:13:22,3,0,0,0,0,0,3,4,0,0,0,0,0,8,4
15907,2002-05-17 12:14:35,3,0,0,0,0,0,3,4,0,0,0,0,0,8,4
15939,2002-05-25 18:39:02,3,0,0,0,0,0,3,4,0,1,0,0,0,8,4
15999,2002-05-25 18:40:11,6,0,0,66,0,0,3,4,0,1,0,0,15,8,4
16025,2002-05-25 18:40:44,6,0,0,66,0,0,3,4,0,1,0,0,15,9,4
16047,2002-06-07 03:02:55,20,0,0,66,0,0,3,4,0,1,0,0,36,9,4
16225,2002-06-07 03:35:30,25,0,0,83,0,0,3,4,2,1,0,0,44,9,4
16239,2002-06-07 03:37:07,22,0,0,83,0,0,3,4,2,1,0,0,44,9,8
16249,2002-06-13 16:09:32,22,0,0,83,0,0,3,4,2,1,0,0,44,9,8
16163,2002-06-13 16:09:53,22,0,0,83,0,0,3,4,2,1,2,0,44,9,8
17844,2002-08-05 05:04:53,22,0,0,83,0,0,11,4,8,11,2,0,44,9,10
18491,2002-08-05 05:06:21,22,0,0,83,0,0,15,4,8,12,2,0,44,9,10
18589,2002-08-19 22:41:10,22,0,0,83,0,0,15,4,8,12,0,0,44,9,12
18636,2002-10-10 13:51:36,22,0,0,83,0,0,15,4,8,12,0,0,44,9,13
18560,2002-12-16 10:41:59,22,0,0,83,0,0,17,4,8,12,0,0,44,9,13
18584,2003-02-09 20:17:55,22,0,0,83,0,0,2,4,8,12,0,0,44,9,13
18598,2003-02-18 20:22:00,22,0,0,83,0,0,2,4,8,12,0,0,44,9,13
18600,2003-02-18 20:22:41,22,0,0,83,0,0,2,4,8,12,0,0,44,9,13
18715,2003-05-09 12:22:29,23,0,0,83,0,0,2,4,8,12,0,0,44,9,13
18787,2003-06-22 19:43:01,23,0,0,83,0,0,2,4,8,12,0,0,44,9,13
18969,2003-06-25 10:49:48,23,0,0,83,0,0,2,4,8,12,0,0,44,9,13
18899,2003-06-25 10:51:44,23,0,0,83,0,0,2,4,8,13,0,0,44,9,13
19074,2003-06-25 10:52:02,24,0,0,97,0,0,2,4,8,13,0,0,44,9,13
19337,2003-06-25 11:17:01,24,0,0,99,0,0,2,4,8,14,0,0,73,9,13
19341,2003-12-30 20:47:53,23,0,0,97,0,0,2,2,8,14,0,0,73,9,10
19346,2004-05-19 15:22:45,23,0,0,97,0,0,2,2,8,14,0,0,73,9,10
19348,2004-06-12 23:53:17,23,0,0,97,0,0,2,2,8,14,0,0,73,9,10
19258,2004-06-13 01:41:49,23,0,0,97,0,0,2,2,8,16,0,0,73,9,10
19170,2004-08-15 16:01:12,23,0,0,97,0,0,2,2,8,16,0,0,73,9,10
19186,2004-08-17 13:20:48,23,0,0,97,0,0,2,2,8,16,0,0,73,9,10
19176,2004-08-19 17:35:47,23,0,0,97,0,0,2,2,8,16,0,0,73,9,10
19008,2004-08-20 07:31:52,23,0,0,97,0,0,2,2,8,16,0,0,73,9,9
18925,2004-08-20 12:05:03,23,0,0,97,0,0,2,1,8,16,0,0,73,0,8
18947,2004-08-22 08:32:14,23,0,0,97,0,0,2,1,8,16,0,0,73,0,9
18952,2004-08-22 14:52:15,23,0,0,97,0,0,2,1,8,16,0,0,73,0,10
18971,2004-08-23 11:25:14,23,0,0,97,0,0,2,1,8,16,0,0,73,0,10
19001,2004-08-24 05:03:13,23,0,0,97,0,0,2,1,8,16,0,0,73,0,10
19007,2004-09-01 00:35:38,23,0,0,98,0,0,2,1,8,16,0,0,73,0,10
